ST_LEAID,SchoolYear,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,DistrictName,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Geometry,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,TeacherInDistrict4YearsOrMore_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
NJ-250560,2021-2022,81.9,37.7,91.5,Brielle Boro School District,68.8,75.4,78.6,81.6,96.8,86.1,NA,0.2997093023255814,65.0,35.5,71.5,100.0,100.0,62.5,71.9,69.6,32.7,72.2,51.1,NA,0.09369186046511627,0.09973484848484848,10:1,127:1,52,12.1,12.1,78.8,42,8.5,2.0,30.0,37.0,19.0,13.0,21.0,1.2,20,48,45,51,49,57,56,49,62,72,0,0,0,0,509
NJ-250945,2021-2022,72.1,28.3,81.3,Colts Neck Township School District,65.3,80.2,79.0,79.6,73.0,59.6,NA,0.281953642384106,64.0,24.8,72.3,94.2,100.0,79.8,70.1,69.7,54.2,53.8,18.2,N,0.16303333333333334,0.16773858921161824,9:1,147:1,120,16.2,13.3,75.8,134,13.9,1.0,24.0,34.0,20.0,21.0,17.2,3.8,52,112,106,106,108,104,101,105,106,115,0,0,0,0,1015
NJ-251000,2021-2022,47.5,20.0,54.3,Deal Boro School District,23.5,58.8,35.7,33.3,68.4,66.7,NA,0.061200000000000004,38.8,28.6,41.5,*,NA,29.4,41.2,26.7,22.2,50.0,41.7,NA,0.020202020202020204,0.022988505747126436,8:1,79:1,20,7.9,7.9,77.8,21,13.4,3.0,24.0,31.0,25.0,18.0,11.5,14.6,0,16,21,17,18,17,15,18,20,15,0,0,0,0,157
NJ-251260,2021-2022,53.2,14.3,66.5,Eatontown Public School District,49.0,44.2,59.0,69.6,57.0,47.1,NA,0.135179584120983,40.0,<10%,50.1,81.5,NA,58.1,37.2,41.0,38.6,34.4,*,NA,0.08532228360957643,0.10123006833712983,10:1,120:1,101,13.0,12.5,80.2,198,23.9,4.0,23.0,28.0,18.0,28.0,21.5,30.0,131,91,104,89,104,79,82,85,90,105,0,0,0,0,960
NJ-251440,2021-2022,81.2,37.5,90.8,Fair Haven School District,80.4,82.9,78.1,79.4,85.6,81.3,NA,0.28305825242718446,77.3,41.1,85.3,96.6,NA,89.1,69.5,71.9,73.5,73.0,56.0,NA,0.20344660194174757,0.20721343873517786,10:1,139:1,97,12.5,10.1,80.4,92,9.8,1.0,25.0,37.0,23.0,14.0,17.2,0.4,33,114,93,111,91,105,97,101,111,113,0,0,0,0,970
NJ-251490,2021-2022,42.0,10.0,52.5,Farmingdale Public School District,28.6,36.4,45.5,35.7,64.3,60.0,NA,0.12764705882352942,35.8,<10%,45.9,*,N,28.6,18.2,36.4,42.9,57.1,*,NA,0.02626666666666667,0.02626666666666667,6:1,82:1,26,10.5,7.9,65.4,30,21.0,1.0,22.0,24.0,20.0,33.0,20.2,19.0,20,18,21,17,14,22,13,14,14,10,0,0,0,0,163
NJ-251640,2021-2022,37.9,<10%,45.5,Freehold Borough School District,26.8,47.2,45.0,26.7,42.7,39.7,NA,0.05706,21.1,<10%,24.8,75.7,NA,29.2,24.3,18.5,11.5,19.2,*,NA,0.01697876447876448,0.017011627906976745,11:1,166:1,155,10.9,8.4,67.1,220,14.5,3.0,34.0,29.0,16.0,18.0,19.8,67.6,144,157,154,163,156,169,179,179,180,177,0,0,0,0,1658
NJ-251650,2021-2022,57.2,17.0,64.8,Freehold Regional High School District,NA,NA,NA,NA,NA,NA,57.1,0.10999999999999999,38.9,15.2,43.4,31.9,40.9,NA,NA,NA,NA,NA,NA,85.5,0.008782132321955332,NA,14:1,147:1,713,14.7,13.8,88.8,2404,22.9,2.0,20.0,27.0,22.0,28.0,15.5,11.1,0,0,0,0,0,0,0,0,0,0,2591,2544,2506,2621,10262
NJ-251660,2021-2022,63.3,21.9,72.6,Freehold Township School District,54.6,60.1,66.8,58.8,67.1,71.7,NA,0.17516493055555554,51.6,19.6,58.8,88.0,N,67.1,54.4,50.9,43.3,49.3,12.2,*,0.09612218370883882,0.10841017488076311,10:1,146:1,346,11.7,10.4,79.5,486,14.4,2.0,26.0,32.0,21.0,19.0,18.7,9.9,112,325,339,379,359,351,381,409,416,427,0,0,0,0,3498
NJ-252105,2021-2022,55.9,23.9,65.2,Hazlet Township Public School District,43.1,63.3,60.5,68.6,45.7,54.7,57.0,0.09740573152337859,37.5,18.0,43.1,33.9,27.3,53.3,45.5,35.1,43.2,34.2,*,26.7,0.031944235116804824,0.04246516613076099,12:1,117:1,217,12.6,12.6,82.0,269,10.2,3.0,27.0,35.0,20.0,14.0,21.4,14.9,110,182,213,179,199,181,191,191,212,188,193,217,224,214,2694
NJ-252120,2021-2022,58.2,20.0,72.6,Henry Hudson Regional School District,NA,NA,NA,NA,53.8,67.3,49.0,0.11226666666666667,38.7,15.0,47.3,35.6,*,NA,NA,NA,NA,38.5,42.1,N,0.052080536912751677,0,8:1,49:1,39,11.1,10.8,71.8,122,40.1,2.0,11.0,20.0,20.0,46.0,22.3,16.2,0,0,0,0,0,0,0,0,52,49,51,56,44,45,297
NJ-252160,2021-2022,45.1,<10%,65.0,Highlands Borough School District,45.2,30.0,47.6,57.1,NA,NA,NA,0.09698924731182797,45.1,22.6,56.7,NA,NA,64.5,25.0,38.1,38.1,NA,NA,NA,0.03204301075268817,0.03204301075268817,7:1,30:1,26,12.1,10.3,73.1,27,18.2,1.0,29.0,28.0,20.0,23.0,33.1,30.9,29,11,25,19,31,20,22,21,0,0,0,0,0,0,178
NJ-252230,2021-2022,74.3,32.5,81.3,Holmdel Township School District,71.0,79.1,84.2,82.4,70.0,67.5,71.0,0.28317043372021994,67.5,25.2,74.2,58.9,66.5,80.1,78.6,72.1,71.4,63.1,19.7,94.7,0.2026621787025704,0.27051708217913206,11:1,197:1,280,11.1,11.1,71.8,374,13.0,5.0,32.0,30.0,16.0,17.0,14.3,1.7,79,171,174,175,206,203,224,245,261,266,254,233,221,242,2954
NJ-252290,2021-2022,54.2,18.1,62.3,Howell Township Public School District,42.9,54.9,46.3,58.4,63.0,57.3,NA,0.13865675907402114,43.8,15.6,50.0,88.8,85.7,51.8,45.2,37.9,39.9,40.3,15.6,NA,0.06447744146202171,0.07005370569280345,11:1,148:1,493,15.0,13.8,81.7,855,16.4,2.0,24.0,31.0,22.0,22.0,20.5,13.9,239,533,551,566,560,560,591,594,604,675,0,0,0,0,5473
NJ-252400,2021-2022,21.6,<10%,28.1,Keansburg School District,14.4,27.6,25.7,19.3,20.8,27.5,13.9,0.022572145545796736,11.1,<10%,14.5,*,*,15.9,13.8,*,*,13.5,12.0,N,0.003080684596577017,0.004359861591695502,10:1,128:1,154,15.9,15.9,92.2,462,32.2,2.0,21.0,23.0,18.0,36.0,25.5,51.1,150,121,91,115,125,124,111,118,96,122,98,94,89,77,1531
NJ-252430,2021-2022,39.7,14.7,44.6,Keyport School District,30.5,41.2,40.0,37.7,47.3,47.3,33.8,0.07606521739130435,20.2,12.2,21.8,23.8,21.7,27.1,25.0,10.9,15.9,29.1,*,N,0.029502164502164505,0.0419281045751634,9:1,84:1,101,13.0,13.0,88.1,186,20.9,5.0,23.0,30.0,18.0,25.0,18.4,39.4,58,55,51,52,60,68,57,70,53,75,83,88,75,83,928
NJ-252720,2021-2022,87.2,58.1,92.0,Little Silver Boro School District,74.6,88.4,89.8,80.9,92.3,93.9,NA,0.42901923076923076,81.6,44.6,87.8,100.0,95.2,87.3,75.6,81.8,86.2,77.6,60.5,NA,0.28909615384615384,0.2732186732186732,10:1,110:1,78,12.1,12.1,84.6,46,6.1,2.0,33.0,38.0,18.0,9.0,14.2,0.0,24,73,69,79,63,86,89,96,93,100,0,0,0,0,772
NJ-252770,2021-2022,20.6,<10%,22.6,LONG BRANCH PUBLIC SCHOOL District,13.4,17.1,26.1,17.2,22.6,21.9,22.3,0.022259750703659025,15.3,<10%,16.7,11.5,34.1,20.5,16.7,19.7,10.6,13.5,*,*,0.005705750560119492,0.008059071729957807,11:1,125:1,488,11.5,11.5,80.1,1286,26.4,3.0,23.0,24.0,20.0,30.0,12.6,65.3,646,371,331,380,389,389,396,367,363,334,451,392,342,346,5497
NJ-252920,2021-2022,74.7,30.7,82.5,Manalapan-Englishtown Regional School District,59.3,74.6,76.2,69.4,79.7,84.8,NA,0.2680752753977968,65.6,21.4,73.5,97.6,100.0,69.9,70.8,72.7,61.2,55.1,27.7,NA,0.15242182709993868,0.16451772779260387,12:1,175:1,397,12.2,12.0,83.6,318,6.9,3.0,36.0,36.0,16.0,9.0,15.3,6.6,115,379,418,483,465,573,568,538,615,576,0,0,0,0,4730
NJ-252930,2021-2022,63.4,21.0,72.6,Manasquan School District,59.6,50.0,73.1,69.0,84.7,77.0,53.2,0.1694356261022928,46.1,16.9,51.7,37.7,44.4,61.7,50.0,48.1,54.4,56.8,22.9,78.9,0.034704830053667264,0.06140495867768596,10:1,106:1,146,12.3,11.3,82.2,221,14.9,2.0,25.0,33.0,20.0,20.0,15.6,5.3,41,48,50,41,47,42,52,58,64,74,236,244,228,260,1485
NJ-253030,2021-2022,70.5,26.8,78.0,Marlboro Township School District,67.4,76.0,74.3,66.4,73.9,65.3,NA,0.23838444514701232,61.9,22.7,68.6,95.6,98.5,77.0,71.1,62.1,52.8,55.3,30.3,N,0.16062618595825429,0.16781695721077655,10:1,176:1,441,13.4,11.7,83.2,454,10.2,3.0,31.0,32.0,20.0,14.0,15.3,2.9,75,354,429,454,476,442,587,577,549,614,0,0,0,0,4557
NJ-253040,2021-2022,56.7,16.4,66.2,Matawan-Aberdeen Regional School District,60.9,58.1,63.1,51.1,51.1,57.6,55.8,0.17756944444444445,43.3,15.6,50.0,41.9,66.3,55.1,50.8,44.8,28.1,36.5,33.9,*,0.06524064171122995,0.07560733384262797,11:1,150:1,331,11.9,11.9,80.4,545,15.2,3.0,28.0,30.0,20.0,19.0,18.5,23.7,237,255,248,253,254,271,262,244,333,288,319,287,249,255,3755
NJ-253160,2021-2022,58.8,21.4,69.8,Middletown Township Public School District,55.1,65.8,62.0,57.5,61.7,57.3,55.4,0.14200298316641807,50.7,17.1,60.2,95.5,65.9,61.1,55.3,52.5,40.1,47.3,29.5,N,0.07804889627343936,0.08759793501366536,11:1,193:1,797,13.7,11.7,83.8,681,7.6,4.0,36.0,35.0,16.0,10.0,22.1,7.9,237,642,615,602,671,643,635,722,675,760,691,704,671,795,9063
NJ-253200,2021-2022,61.9,22.4,67.8,Millstone Township School District,47.1,74.3,73.0,64.5,59.0,51.9,NA,0.1408179419525066,50.5,16.3,55.7,82.5,100.0,59.5,56.6,56.5,39.5,46.2,20.2,*,0.08620871862615588,0.1036569579288026,10:1,116:1,117,13.7,11.8,75.0,224,20.9,2.0,20.0,27.0,23.0,28.0,12.2,1.3,75,89,116,102,123,157,116,130,117,130,0,0,0,0,1164
NJ-253250,2021-2022,84.9,52.4,90.1,Monmouth Beach School District,86.2,88.0,70.4,80.0,100.0,83.3,NA,0.30012987012987014,74.0,30.0,80.6,100.0,NA,86.2,76.9,63.0,48.1,79.2,*,NA,0.1525,0.15503759398496242,7:1,64:1,35,13.3,8.7,62.9,21,9.8,2.0,23.0,40.0,19.0,16.0,12.8,0.0,42,17,18,21,29,26,27,28,24,25,0,0,0,0,257
NJ-253260,2021-2022,97.9,*,97.9,Monmouth County Vocational School District,NA,NA,NA,NA,NA,NA,97.9,0.55,87.6,*,87.6,87.1,81.5,NA,NA,NA,NA,NA,NA,95.5,0.141282722513089,NA,10:1,118:1,208,14.3,11.6,76.0,347,14.3,6.0,42.0,33.0,13.0,7.0,14.7,7.7,0,0,0,0,0,0,0,0,0,0,428,423,582,579,2012
NJ-253270,2021-2022,51.4,24.1,61.1,Monmouth Regional High School,NA,NA,NA,NA,NA,NA,51.4,0.08,32.4,<10%,41.5,30.1,41.7,NA,NA,NA,NA,NA,NA,N,0,NA,9:1,89:1,100,12.2,12.2,81.0,208,22.1,5.0,23.0,27.0,20.0,25.0,21.8,14.9,0,0,0,0,0,0,0,0,0,0,239,232,217,204,892
NJ-253500,2021-2022,25.7,<10%,34.3,Neptune City School District,16.7,26.3,27.3,25.0,27.3,30.4,NA,0.026827586206896552,17.4,<10%,22.5,*,NA,16.7,*,21.2,*,27.3,14.3,NA,0.007279411764705882,0.008114754098360656,9:1,62:1,29,11.4,8.7,72.4,62,27.4,4.0,21.0,27.0,16.0,32.0,23.5,55.9,24,33,20,26,24,19,31,24,20,23,0,0,0,0,247
NJ-253510,2021-2022,28.8,<10%,36.2,Neptune Township School District,22.0,27.9,34.6,35.8,31.1,25.4,25.2,0.0418586887332909,17.7,<10%,22.2,16.1,12.1,21.1,24.5,20.4,10.5,23.6,*,*,0.013564668769716088,0.019925857275254866,10:1,113:1,360,13.4,12.2,85.3,954,30.0,5.0,18.0,24.0,19.0,34.0,21.8,42.3,371,202,230,207,216,217,208,218,230,217,295,278,313,287,3489
NJ-253810,2021-2022,51.1,16.6,61.6,Township of Ocean School District,47.8,59.3,66.8,46.9,49.8,53.4,34.9,0.10324968632371394,39.3,12.0,47.5,35.1,42.4,53.6,55.2,48.5,26.9,39.0,10.4,*,0.04907248157248157,0.06502234137622878,9:1,138:1,368,12.6,11.7,81.5,303,9.8,4.0,35.0,31.0,17.0,13.0,21.4,20.5,232,229,215,222,212,222,232,217,247,261,245,258,241,233,3266
NJ-253830,2021-2022,67.5,41.0,74.6,Oceanport School District,50.8,78.1,73.0,52.9,79.7,71.9,NA,0.16938829787234042,68.3,45.5,74.3,100.0,NA,65.1,80.0,77.8,50.0,62.5,60.5,NA,0.14440318302387267,0.16214511041009463,9:1,71:1,65,13.5,11.3,69.2,39,7.4,2.0,36.0,31.0,19.0,12.0,22.4,4.9,36,42,57,53,63,66,63,69,59,58,0,0,0,0,566
NJ-254360,2021-2022,34.7,15.9,39.4,Red Bank Borough Public School District,33.3,31.5,33.1,47.9,34.9,29.5,NA,0.04867469879518072,24.2,<10%,27.7,96.2,NA,39.3,16.7,22.1,14.4,26.0,*,NA,0.024281984334203657,0.0223202614379085,10:1,151:1,132,10.1,7.8,67.4,87,7.7,6.0,41.0,28.0,15.0,10.0,19.7,73.0,231,127,114,120,124,114,132,118,127,152,0,0,0,0,1359
NJ-254365,2021-2022,52.0,13.5,57.3,Red Bank Regional School District,NA,NA,NA,NA,NA,NA,51.8,0.11999999999999998,38.3,14.3,41.5,30.3,64.7,NA,NA,NA,NA,NA,NA,90.0,0.006622950819672131,NA,10:1,92:1,118,10.0,9.9,78.0,343,26.6,3.0,21.0,25.0,20.0,31.0,12.7,17.2,0,0,0,0,0,0,0,0,0,0,280,288,322,302,1192
NJ-254520,2021-2022,62.9,*,61.8,Roosevelt Borough Public School District,68.8,54.5,*,N,NA,NA,NA,NA,48.6,*,50.0,NA,NA,62.5,18.2,*,N,NA,NA,NA,0.14814814814814814,0.14814814814814814,9:1,85:1,9,15.4,12.6,77.8,14,18.9,3.0,23.0,30.0,19.0,26.0,2.4,0.0,12,13,14,11,16,11,8,0,0,0,0,0,0,0,85
NJ-254570,2021-2022,89.0,54.8,93.5,Rumson Borough School District,82.7,83.5,91.7,84.5,94.9,96.3,NA,0.4973248407643312,84.2,43.8,89.5,100.0,*,87.7,86.2,88.5,78.4,71.8,81.8,*,0.3255177993527508,0.3150891089108911,10:1,130:1,95,14.7,12.0,78.7,37,4.3,3.0,32.0,38.0,18.0,9.0,11.9,0.0,46,73,65,98,81,109,96,116,118,109,0,0,0,0,911
NJ-254580,2021-2022,84.7,55.6,90.8,Rumson-Fair Haven Regional High School District,NA,NA,NA,NA,NA,NA,85.4,0.31,74.8,51.5,79.2,61.5,84.5,NA,NA,NA,NA,NA,NA,70.0,0.09019607843137255,NA,11:1,84:1,87,13.9,11.3,77.0,69,7.4,2.0,22.0,35.0,26.0,16.0,15.9,0.4,0,0,0,0,0,0,0,0,0,0,216,209,228,268,921
NJ-254690,2021-2022,89.4,60.0,93.3,Sea Girt Borough School District,91.7,87.5,100.0,93.8,88.9,80.0,NA,0.414367816091954,85.9,60.0,89.3,*,N,91.7,68.8,100.0,93.8,94.4,50.0,NA,0.24487804878048783,0.2788888888888889,6:1,69:1,24,14.3,10.5,79.2,11,8.9,6.0,31.0,37.0,16.0,10.0,11.7,0.0,12,10,10,16,12,16,10,16,18,17,0,0,0,0,137
NJ-254760,2021-2022,52.3,31.0,57.3,Shore Regional High School District,NA,NA,NA,NA,NA,NA,52.6,0.03,30.7,15.4,33.9,23.1,50.0,NA,NA,NA,NA,NA,NA,*,0.005945945945945946,NA,10:1,74:1,58,14.1,11.6,77.6,104,16.6,3.0,24.0,31.0,23.0,19.0,18.3,5.9,0,0,0,0,0,0,0,0,0,0,154,150,139,151,594
NJ-254770,2021-2022,72.6,34.3,85.2,Shrewsbury Borough School District,84.8,76.0,50.0,67.3,72.4,80.0,NA,0.13951851851851851,69.1,40.3,78.7,100.0,N,95.7,67.3,37.5,65.3,69.0,55.0,NA,0.16286245353159853,0.1617948717948718,11:1,112:1,40,11.8,10.6,82.5,20,4.5,2.0,38.0,34.0,15.0,10.0,21.6,0.0,11,57,48,63,47,50,32,49,57,34,0,0,0,0,448
NJ-254980,2021-2022,92.0,77.8,95.1,Spring Lake Borough,92.3,85.0,78.6,100.0,100.0,86.7,NA,0.43137254901960786,82.8,66.7,86.4,*,*,92.3,89.5,57.1,95.0,56.3,*,NA,0.3181707317073171,0.3181707317073171,7:1,52:1,23,18.2,12.4,69.6,7,5.0,6.0,30.0,30.0,24.0,10.0,15.9,1.9,15,16,10,13,13,20,14,20,20,16,0,0,0,0,157
NJ-254990,2021-2022,68.9,35.7,74.4,Spring Lake Heights School District,62.9,55.6,50.0,84.8,75.6,80.0,NA,0.19433673469387758,48.2,21.4,52.7,100.0,*,60.0,48.1,23.3,51.5,34.3,43.8,NA,0.05319148936170213,0.05650000000000001,7:1,106:1,43,13.0,8.9,58.1,23,7.6,4.0,31.0,36.0,19.0,10.0,18.2,5.0,19,28,32,35,36,28,30,33,42,36,0,0,0,0,319
NJ-255185,2021-2022,58.8,20.5,71.8,Tinton Falls School District,51.0,59.9,55.7,58.6,70.6,57.0,NA,0.17048863636363637,46.9,19.0,56.5,91.5,*,58.7,52.8,45.4,33.6,44.9,17.9,NA,0.08502277904328019,0.09440217391304348,9:1,138:1,156,10.8,10.3,73.7,171,12.8,4.0,28.0,32.0,19.0,17.0,25.3,10.4,44,153,136,149,145,160,143,149,153,145,0,0,0,0,1377
NJ-255230,2021-2022,47.1,12.1,53.7,Union Beach Public School District,39.3,51.6,23.2,47.9,64.1,55.1,NA,0.1117027027027027,26.8,<10%,30.7,77.8,NA,25.0,32.8,*,27.1,39.1,13.7,NA,0.020921409214092142,0.022133333333333335,11:1,166:1,60,14.0,13.8,85.0,102,19.0,2.0,20.0,27.0,22.0,28.0,15.5,22.4,97,46,56,51,56,64,70,46,67,71,0,0,0,0,665
NJ-255310,2021-2022,52.5,13.4,62.9,Upper Freehold Regional School District,45.7,65.3,54.8,55.2,51.8,51.7,48.5,0.08845383759733037,47.7,16.0,55.9,41.8,55.8,59.6,47.4,58.1,53.1,44.0,*,84.6,0.06540540540540542,0.09317829457364342,12:1,174:1,180,13.1,13.1,90.0,207,10.1,3.0,32.0,32.0,18.0,14.0,18.9,4.6,50,90,101,95,96,96,107,118,110,116,267,268,284,290,2088
NJ-255420,2021-2022,61.4,24.6,70.8,Wall Township Public School District,48.5,65.7,73.1,70.0,68.6,51.0,54.0,0.16650737463126844,55.3,26.5,62.6,64.8,51.8,63.6,59.6,62.6,55.2,46.2,*,56.8,0.07273802483737433,0.09361256544502618,9:1,131:1,371,14.1,12.8,85.9,342,10.6,3.0,30.0,35.0,17.0,14.0,20.3,5.6,73,240,216,262,239,250,248,252,261,267,231,224,236,271,3270
NJ-255640,2021-2022,63.7,29.3,74.0,West Long Branch School District,45.2,74.1,56.1,65.0,65.9,80.3,NA,0.14845201238390093,58.6,25.3,68.5,100.0,*,61.3,54.2,51.2,65.0,61.0,37.2,N,0.0924923076923077,0.11429657794676806,9:1,68:1,62,10.0,9.7,71.0,65,12.5,2.0,27.0,32.0,22.0,17.0,21.0,11.0,31,67,59,57,61,59,42,60,48,63,0,0,0,0,547
NJ-270450,2021-2022,62.5,24.1,74.0,Boonton Town Public School District,59.7,71.2,62.8,61.4,74.3,68.2,53.0,0.1823671497584541,33.6,10.7,40.4,19.6,41.7,60.0,37.3,23.3,37.1,45.9,14.3,N,0.036570512820512824,0.060853333333333336,10:1,113:1,144,10.5,10.5,70.4,289,21.5,2.0,25.0,26.0,19.0,27.0,20.1,27.8,151,71,75,87,71,76,84,72,73,89,168,147,134,178,1476
NJ-270460,2021-2022,68.1,28.6,76.2,Boonton Township School District,73.7,66.7,64.1,60.3,75.0,73.2,NA,0.12812,59.0,26.2,65.7,56.1,NA,69.2,61.9,66.7,46.6,56.3,N,NA,0.09597609561752989,0.09128571428571429,10:1,98:1,41,12.8,9.8,75.6,25,6.6,9.0,35.0,31.0,15.0,10.0,18.7,1.3,19,39,48,30,40,43,39,59,32,42,0,0,0,0,391
NJ-270630,2021-2022,52.0,16.4,62.6,Butler Public School District,39.4,60.9,35.4,45.6,70.5,58.2,52.3,0.09823843416370107,40.7,11.0,49.4,35.4,74.3,43.7,47.8,34.8,29.4,46.2,32.7,N,0.029929701230228475,0.04539772727272728,10:1,113:1,112,12.2,11.5,75.9,87,7.6,4.0,39.0,32.0,15.0,10.0,22.8,17.1,18,77,75,63,74,70,68,71,82,81,133,104,101,112,1129
NJ-270785,2021-2022,78.0,45.1,85.5,School District of the Chathams,73.8,74.5,78.5,74.5,76.2,78.7,89.8,0.23304369414101292,68.2,36.6,75.3,36.8,63.9,90.2,73.1,79.2,63.4,65.2,*,93.3,0.17807960199004974,0.22191260744985675,11:1,129:1,343,11.8,9.2,75.5,334,9.1,3.0,33.0,34.0,17.0,13.0,18.0,1.7,86,187,236,229,257,290,282,290,323,306,308,292,331,329,3746
NJ-270820,2021-2022,71.0,36.7,78.8,Chester Township School District,65.8,67.4,77.4,55.8,85.2,71.8,NA,0.20929698708751793,67.8,32.0,75.8,100.0,100.0,77.8,75.0,73.4,57.7,57.6,26.8,N,0.13260371959942774,0.13883677298311445,9:1,149:1,111,10.9,10.9,67.6,15,1.5,5.0,50.0,31.0,10.0,4.0,21.1,4.5,73,78,89,99,117,96,127,104,115,144,0,0,0,0,1042
NJ-271090,2021-2022,74.8,43.6,85.3,Denville Township K-8 School District,60.0,78.3,88.1,63.5,86.8,75.6,NA,0.29367577756833174,53.0,23.9,62.6,86.5,96.3,55.7,62.8,63.6,43.7,40.2,14.2,NA,0.0771643192488263,0.09145687645687646,10:1,168:1,173,10.0,9.9,73.4,109,6.7,4.0,39.0,33.0,15.0,9.0,23.3,4.4,38,179,170,193,186,183,164,170,192,181,0,0,0,0,1656
NJ-271110,2021-2022,39.7,13.5,45.1,Dover Public School District,28.5,35.1,37.8,44.8,43.3,39.8,45.3,0.08986850344395743,23.5,11.2,26.0,23.4,35.0,30.1,18.8,23.1,23.0,23.9,10.3,*,0.024403292181069958,0.031940559440559436,14:1,140:1,247,12.4,9.6,66.7,561,17.4,4.0,28.0,30.0,17.0,21.0,13.6,68.0,309,210,220,223,220,229,212,230,275,263,355,262,267,221,3496
NJ-271190,2021-2022,70.4,29.5,79.4,East Hanover Township School District,61.1,80.2,71.9,66.7,79.8,63.2,NA,0.27878472222222217,56.3,19.0,64.4,100.0,*,63.2,68.3,61.8,52.0,47.9,11.7,NA,0.12453287197231834,0.12834710743801653,9:1,104:1,99,11.6,10.2,77.8,74,8.2,3.0,29.0,34.0,22.0,12.0,18.2,1.3,32,94,84,126,98,106,93,103,99,99,0,0,0,0,934
NJ-271530,2021-2022,71.8,27.8,81.6,Florham Park School District,53.9,79.7,76.1,74.5,77.3,69.9,NA,0.2658084772370487,66.2,33.3,73.6,94.6,NA,77.4,60.2,64.1,61.2,70.7,35.6,NA,0.15725856697819315,0.17988614800759015,10:1,121:1,98,10.7,9.5,69.4,90,9.6,3.0,33.0,32.0,18.0,14.0,18.5,0.6,27,94,96,94,118,119,95,103,103,118,0,0,0,0,967
NJ-271990,2021-2022,60.8,20.0,67.8,Hanover Park Regional High School District,NA,NA,NA,NA,NA,NA,60.6,0.19,48.9,<10%,56.3,39.8,77.2,NA,NA,NA,NA,NA,NA,N,0.06019047619047619,NA,10:1,104:1,135,11.0,11.0,79.3,155,11.1,4.0,31.0,30.0,19.0,16.0,14.3,2.8,0,0,0,0,0,0,0,0,0,0,312,343,315,377,1347
NJ-272000,2021-2022,60.8,29.0,69.0,Hanover Township School District,58.7,70.2,83.3,44.5,59.1,52.9,NA,0.15376018626309665,51.2,33.5,55.7,97.4,NA,66.1,58.3,61.1,39.1,40.3,29.1,NA,0.11395591647331788,0.12974504249291785,10:1,141:1,130,13.6,11.5,85.4,87,7.0,5.0,37.0,33.0,14.0,11.0,19.9,5.7,20,118,125,128,126,120,152,159,158,158,0,0,0,0,1264
NJ-272010,2021-2022,82.5,45.5,91.3,Harding Township School District,66.7,81.1,88.9,78.6,83.3,93.5,NA,0.3443274853801169,73.1,39.4,81.2,100.0,*,95.8,78.4,59.3,71.4,70.8,35.3,NA,0.23317365269461077,0.26385714285714285,7:1,73:1,42,10.7,10.3,73.8,30,10.9,3.0,18.0,37.0,28.0,15.0,18.9,0.0,19,35,26,39,24,37,28,28,23,30,0,0,0,0,291
NJ-272380,2021-2022,52.1,15.9,60.6,Jefferson Township Public School District,31.8,53.3,51.1,42.5,55.7,66.3,57.8,0.09268610897927858,35.1,11.8,41.2,23.7,61.0,40.6,40.5,38.3,34.1,38.4,24.1,*,0.022872968980797635,0.03387640449438202,11:1,126:1,237,14.4,12.2,84.0,212,8.6,2.0,28.0,37.0,19.0,13.0,20.8,11.3,104,159,166,165,171,168,187,181,184,197,214,209,209,210,2524
NJ-272460,2021-2022,74.4,37.5,83.7,Kinnelon School District,56.0,69.2,77.1,81.6,78.7,83.5,72.7,0.2448645598194131,65.8,38.8,72.6,59.1,84.7,70.7,73.3,70.3,56.0,70.4,45.5,*,0.13351473922902496,0.16931596091205214,10:1,97:1,169,15.3,12.5,81.7,165,10.1,4.0,32.0,33.0,16.0,14.0,19.3,2.3,24,102,104,104,114,120,117,124,140,141,136,130,144,143,1643
NJ-272650,2021-2022,71.2,35.3,80.8,Lincoln Park School District,62.1,68.4,67.4,81.5,73.4,72.8,NA,0.2504891304347826,53.1,25.2,60.5,100.0,NA,63.2,64.5,43.5,39.8,52.1,39.5,NA,0.09687725631768954,0.10548888888888888,10:1,148:1,86,12.7,11.3,73.3,89,10.6,3.0,31.0,33.0,18.0,16.0,23.6,2.0,51,84,97,96,98,75,92,93,96,103,0,0,0,0,885
